image_id,qa_id,task,qa_type,question,ground_truth,predicted,score,overall
0000-0001,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,**Chambre 1** (with an area of $13.01\text{ m}^2$).,1.0,1.0
0000-0001,cmp2,largest_room,comparison_qa,Which room has the largest area in m²?,Salon and Sejour,**Salon / Séjour** (with an area of **47.19 m²**).,1.0,1.0
0000-0001,cnt1,count_bedrooms,counting_qa,How many bedrooms are there on the floor plan?,Two (2) bedrooms,"There are **2** bedrooms on this floor plan (labeled ""Chambre 1"" and ""Chambre 2"").",1.0,1.0
0000-0001,cnt2,count_windows,counting_qa,How many windows does Chambre 1 have on the floor plan?,One (1) window.,"Based on the floor plan, **Chambre 1** has **1** window (located on the south wall).",1.0,1.0
0000-0001,ocr1,read_area_text,ocr_qa,what is the size of the GARAGE on the left?,39.37 m²,**39.37 m²** (with interior dimensions of **6.05 m × 6.96 m**).,1.0,1.0
0000-0001,ocr2,read_area_text,ocr_qa,What is the area of the SALON and SEJOUR room in square meters?,47.19 m²,**47.19 m²**,1.0,1.0
0000-0001,sp1,adjacency,spatial_qa,Which room is directly connected to the GARAGE with an internal door?,The A. CUISINE,"Based on the drawing, the room directly connected to the GARAGE with an internal door is **A.CUIS.** (Arrière-cuisine / back kitchen / utility room).",1.0,1.0
0000-0001,sp2,access_to_terrace,spatial_qa,Which room has an openable door to the TERRASSE?,The CUISINE,"Based on the drawing, both the **Cuisine** (Kitchen) and the **Salon** (Living room) have doors opening directly onto the **Terrasse**.",0.0,0.0
0000-0002,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,"Based on the drawing, **Chambre 1** has the largest area ($11.01\text{ m}^2$).",1.0,1.0
0000-0002,cmp2,largest_room,comparison_qa,Which room has the second largest area?,Garage,"Based on the area measurements provided in the drawing:

* **Chambre 1** ($11.01\text{ m}^2$) — if considering only habitable rooms.
* **Garage** ($18.20\text{ m}^2$) — if including indoor utility spaces.
* **Terrasse** ($22.00\text{ m}^2$) — if including outdoor spaces (the largest being the *Séjour* at $30.67\text{ m}^2$).",1.0,1.0
0000-0002,cmp3,access_to_terrace,comparison_qa,Which bedroom is most close to the ABRI?,CHAMBRE 3,**Chambre 3** is the closest bedroom to the ABRI.,1.0,1.0
0000-0002,cnt1,count_bedrooms,counting_qa,How many bedrooms are available on the floor plan?,Three (3) bedrooms.,"Based on the floor plan, there are **3** bedrooms (labeled as Chambre 1, Chambre 2, and Chambre 3).",1.0,1.0
0000-0002,cnt2,access_doors,counting_qa,How many doors give access to the LINGERIE room?,Three (3) doors.,"Based on the drawing, there are **2** doors that give access to the LINGERIE room (one from the CUISINE and one from the GARAGE).",0.0,0.0
0000-0002,ocr1,read_area_text,ocr_qa,What is the area of the BAINS room in square meters?,5.90 m²,The area of the BAINS room is **5.90 m²**.,1.0,1.0
0000-0002,sp1,read_room_label,spatial_qa,Which room is directly connected with SEJOUR without an internal door?,The CUISINE,**CUISINE** (Kitchen),1.0,1.0
0000-0002,sp2,adjacency,spatial_qa,Which room is directly connected to the GARAGE with an internal door?,The Lingerie,**LINGERIE** (laundry room),1.0,1.0
0000-0004,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,"Based on the drawing, **CHAMBRE 1** has the largest area with **11.88 m²** (compared to CHAMBRE 2 at 11.63 m² and CHAMBRE 3 at 11.45 m²).",1.0,1.0
0000-0004,cmp2,largest_room,comparison_qa,Which room has the second largest area?,Garage,"Based on the areas indicated on the drawing:

* **Garage** ($23.56\text{ m}^2$) is the second largest area overall (after the Sejour/Salon at $44.81\text{ m}^2$).
* If excluding the garage and carport, the **Atelier** ($12.67\text{ m}^2$) is the second largest habitable room.",1.0,1.0
