image_id,qa_id,task,qa_type,question,ground_truth,predicted,score,overall
0000-0001,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,"**CHAMBRE 1** has the largest area at **13.01 m²**, compared to CHAMBRE 2 at 12.02 m².",1.0,1.0
0000-0001,cmp2,largest_room,comparison_qa,Which room has the largest area in m²?,Salon and Sejour,**Séjour/Salon** with **47.19 m²** — the largest area in the floor plan.,1.0,1.0
0000-0001,cnt1,count_bedrooms,counting_qa,How many bedrooms are there on the floor plan?,Two (2) bedrooms,2,1.0,1.0
0000-0001,cnt2,count_windows,counting_qa,How many windows does Chambre 1 have on the floor plan?,One (1) window.,Chambre 1 has **2 windows** on the floor plan (located on the south exterior wall).,0.0,0.0
0000-0001,ocr1,read_area_text,ocr_qa,what is the size of the GARAGE on the left?,39.37 m²,The GARAGE on the left has an area of **39.37 m²**.,1.0,1.0
0000-0001,ocr2,read_area_text,ocr_qa,What is the area of the SALON and SEJOUR room in square meters?,47.19 m²,47.19 m²,1.0,1.0
0000-0001,sp1,adjacency,spatial_qa,Which room is directly connected to the GARAGE with an internal door?,The A. CUISINE,CUISINE (Kitchen),1.0,1.0
0000-0001,sp2,access_to_terrace,spatial_qa,Which room has an openable door to the TERRASSE?,The CUISINE,**SALON** has an openable door leading to the TERRASSE.,0.0,0.0
0000-0002,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,"**CHAMBRE 1** has the largest area at **11.01 m²**, compared to CHAMBRE 3 (10.10 m²) and CHAMBRE 2 (10.09 m²).",1.0,1.0
0000-0002,cmp2,largest_room,comparison_qa,Which room has the second largest area?,Garage,"**CHAMBRE 1** (11.01 m²)

Excluding the outdoor terrace (22.00 m²) and garage (18.20 m²), the room areas rank as follows:
1. SEJOUR (Living/Dining): 30.67 m²
2. **CHAMBRE 1: 11.01 m²** ← second largest
3. CHAMBRE 3: 10.10 m²
4. CHAMBRE 2: 10.09 m²",0.0,0.0
0000-0002,cmp3,access_to_terrace,comparison_qa,Which bedroom is most close to the ABRI?,CHAMBRE 3,Chambre 3 is closest to the ABRI.,1.0,1.0
0000-0002,cnt1,count_bedrooms,counting_qa,How many bedrooms are available on the floor plan?,Three (3) bedrooms.,3,1.0,1.0
0000-0002,cnt2,access_doors,counting_qa,How many doors give access to the LINGERIE room?,Three (3) doors.,1 door.,0.0,0.0
0000-0002,ocr1,read_area_text,ocr_qa,What is the area of the BAINS room in square meters?,5.90 m²,5.90 m²,1.0,1.0
0000-0002,sp1,read_room_label,spatial_qa,Which room is directly connected with SEJOUR without an internal door?,The CUISINE,CUISINE,1.0,1.0
0000-0002,sp2,adjacency,spatial_qa,Which room is directly connected to the GARAGE with an internal door?,The Lingerie,"**LINGERIE** (laundry room)

The floor plan shows an internal door connecting the GARAGE directly to the LINGERIE (5.81 m²) located just above it.",1.0,1.0
0000-0004,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,**CHAMBRE 1** has the largest area at **11.88 m²** (compared to CHAMBRE 2 at 11.63 m² and CHAMBRE 3 at 11.45 m²).,1.0,1.0
0000-0004,cmp2,largest_room,comparison_qa,Which room has the second largest area?,Garage,"**GARAGE** (23.56 m²), after the SEJOUR/SALON (44.81 m²).",1.0,1.0
0000-0004,cmp3,largest_toilet,comparison_qa,"Which toilet( TOILET, W.C or BAINS) has the largest area?",The BAINS.,"**BAINS** has the largest area at **5.90 m²**, compared to TOIL. (2.70 m²) and W.C (1.53 m²).",1.0,1.0
0000-0004,cnt1,dinning_chairs,counting_qa,How many chairs are shown in the CUISINE room?,Five (5) chairs.,4 chairs are shown around the round table in the CUISINE room.,0.0,0.0
0000-0004,ocr1,read_room_label,ocr_qa,What is the area of the small TOILET between the CHAMBRE 1 and the CHAMBRE 2?,2.70 m²,2.70 m²,1.0,1.0
0000-0004,ocr2,read_area_text,ocr_qa,What is the area of the Chambre 2 in square meters?,11.63 m²,The area of Chambre 2 is **11.63 m²**.,1.0,1.0
0000-0004,sp1,adjacency,spatial_qa,Which room is directly connected to the GARAGE with an internal door?,The A. CUISINE and the ABRI VOITURE.,The **ATELIER** (workshop) is directly connected to the GARAGE with an internal door.,0.0,0.0
0000-0005,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,"**CHAMBRE 1** (10.95 m²) has the largest area, compared to CHAMBRE 2 (10.20 m²) and CHAMBRE 3 (10.02 m²).",1.0,1.0
0000-0005,cmp2,largest_room,comparison_qa,Which room has the largest area in m²?,SALON and SEJOUR 44.38 m²,**SEJOUR / SALON** with **44.38 m²**.,1.0,1.0
0000-0005,cmp3,adjacency,comparison_qa,Which bedroom is closer to the W.C?,Chambre 1,"Chambre 1 is closer to the W.C., as it is located directly adjacent to it.",1.0,1.0
0000-0005,cmp4,larger_area,comparison_qa,"Which room has the larger area, the GARAGE or the ABRI VOITURE?",The GARAGE,**GARAGE** (32.88 m²) is larger than **ABRI VOITURE** (16.00 m²).,1.0,1.0
0000-0005,cnt1,access_to_degt,counting_qa,How many doors give access to the DEGT space?,Six (6) doors,"5 doors provide access to the DEGT (dégagement/corridor): from Chambre 2, Chambre 3, Bains, Bureau, and W.C./Dressing.",0.0,0.0
0000-0005,ocr1,read_room_label,ocr_qa,What is the size of the ABRI VOITURE in square meters?,16.00 m²,The ABRI VOITURE is **16.00 m²**.,1.0,1.0
0000-0005,ocr2,read_area_text,ocr_qa,What is the area of the BAINS room in square meters?,6.31 m²,6.31 m²,1.0,1.0
0000-0005,sp1,access_to_terrace,spatial_qa,Which bedroom has a window access to the terrace?,Chambre 3,"**Chambre 3** has window access to the terrace. It is located on the upper right side of the floor plan, directly adjacent to the terrace with a window/door opening onto it.",1.0,1.0
1000-0001,cmp1,largest_bedroom,comparison_qa,Which bedroom on Planta Baixa floor has the largest area?,Dormitori 2,"**Dormitori 2** (11.35 m²) is the largest bedroom on the Planta Baixa floor, compared to Dormitori 1 at 8.10 m².",1.0,1.0
1000-0001,cmp2,largest_room,comparison_qa,Which room has the largest area in the drawing?,Cuina-Estar-Menjador (Kitchen–Living–Dining),**Cuina-Estar-Menjador (Kitchen-Living-Dining Room)** with an area of **19.50 m²** on the ground floor (Planta Baixa).,1.0,1.0
1000-0001,cmp3,closer_door,comparison_qa,Whose DORMITORI door has shorter travelling distance to the TRASTER room on the PLANTA BAIXA floor plan?,The door of Dormitori 1.,"**DORMITORI 2** has the shorter traveling distance to the TRASTER on the PLANTA BAIXA. DORMITORI 2 is located directly below the TRASTER, separated only by BANY 2, while DORMITORI 1 is positioned further away to the upper right, requiring travel past the bathroom area.",0.0,0.0
1000-0001,cnt1,count_bedrooms,counting_qa,How many bedrooms (dormitary) are available on the PLANTA BAIXA floor?,Two (2) bedrooms,**2 bedrooms** (Dormitori 1: 8.10 m² and Dormitori 2: 11.35 m²) are shown on the PLANTA BAIXA.,1.0,1.0
1000-0001,ocr1,read_room_label,ocr_qa,What is the listed area of the 'Cuina-Estar-Menjador' on the Planta Baixa?,19.50 m²,"19,50 m²",1.0,1.0
1000-0001,ocr2,read_area_text,ocr_qa,What is the area of 'Dormitori 1' on the Planta Baixa?,8.10 m²,8.10 m²,1.0,1.0
1000-0001,ocr3,adjacency,ocr_qa,"What is the area of the adjacent room to CUINA-ESTAR-MENJADOR, to the left of the staircase, on Planta PIS 1-2-3?",9.70 m²,"The adjacent room to CUINA-ESTAR-MENJADOR, located to the left of the staircase (ESCALA) on Planta PIS 1ª-2ª-3ª, is the **DORMITORI** with an area of **9,70 m²**.",1.0,1.0
1000-0001,sp1,titleblock_location,spatial_qa,Where is the title block located relative to the entire sheet?,Bottom-right corner,The title block is located in the **bottom right corner** of the sheet.,1.0,1.0
2000-0002,cmp1,largest_room,comparison_qa,Which room in the plan has the largest area?,Living Room,"**Living Room** — it occupies the largest portion of the 1st floor plan, spanning the left side of the house with the greatest dimensions among all rooms shown.",1.0,1.0
2000-0002,cnt1,count_window,counting_qa,How many windows does the bedroom have?,One (1) window.,2,0.0,0.0
2000-0002,ocr1,read_floor_area,ocr_qa,What is the listed total square footage of the 1st floor?,914 SQUARE FEET,914 square feet.,1.0,1.0
2000-0002,ocr2,read_safety_note,ocr_qa,What does the safety note say about smoke detectors near the hallway?,All smoke detectors linked w/ battery backup.,"The safety note states: ""ALL SMOKE/CO DETECTORS LINKED W/ BATTERY BACKUP,"" indicating that all smoke and carbon monoxide detectors in the residence are interconnected and equipped with battery backup power.",1.0,1.0
2000-0002,sp1,kitchen_appliances,spatial_qa,Which major appliances are located directly adjacent to the kitchen sink?,Dishwasher and the refrigerator.,"Based on the floor plan, the major appliances located directly adjacent to the kitchen sink are:

1. **Refrigerator (REF)** - with ice maker
2. **Dishwasher (DW)**",1.0,1.0
2000-0002,sp2,adjacency,spatial_qa,Which room is directly adjacent to the Pantry?,The Kitchen,Kitchen,1.0,1.0
2000-0002,sp3,adjacency,spatial_qa,"Which room is positioned directly beside the Stair, sharing the longest adjoining wall?",Bedroom 1,**Bedroom 1**,1.0,1.0
3000-0001,cmp1,largest_room,comparison_qa,Which room has the largest area?,Living Room (& Guest Room),**Living Room (& Guest Room)** has the largest area.,1.0,1.0
3000-0001,cmp2,bigger_room,comparison_qa,"Which one is bigger? the COATS room behind the entrance, or the UTILITY CLOSET room?",The Utility closet,"The **UTILITY CLOSET** is bigger than the COATS room. The utility closet measures approximately 3'-1"" × 3'-1"", while the COATS closet (behind the entrance) is only about 2'-4"" × 2'-4"".",1.0,1.0
3000-0001,cnt1,count_windows,counting_qa,How many windows are available for the main bedroom?,Two (2) windows,"Two windows are available for the main bedroom, located along the top (north) wall.",1.0,1.0
3000-0001,ocr1,read_room_label,ocr_qa,What is the name of the main bedroom shown in the plan?,MAIN BEDROOM,"The main bedroom is labeled as **""MAIN BEDROOM""** in the plan.",1.0,1.0
3000-0001,ocr2,read_area_text,ocr_qa,What text describes the flooring type in the living room?,"HARDWOOD FLOOR, TYP.","HARDWOOD FLOOR, TYP.",1.0,1.0
3000-0001,sp1,item_location,spatial_qa,Where are the woodstoves located?,Living Room (& Guest Room),"The woodstoves (optional) are located in the Living Room (& Guest Room), positioned against the wall shared with the kitchen, near the French doors leading to the front porch.",1.0,1.0
