image_id,qa_id,task,qa_type,question,ground_truth,predicted,score,overall
0000-0001,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,"**CHAMBRE 1 (13.01 m²)**

The floor plan directly annotates the areas of the two bedrooms as CHAMBRE 1 = 13.01 m² and CHAMBRE 2 = 12.02 m²; therefore CHAMBRE 1 is larger.",1.0,1.0
0000-0001,cmp2,largest_room,comparison_qa,Which room has the largest area in m²?,Salon and Sejour,"The floor plan labels the following room areas explicitly:

- SEJOUR: 47.19 m²
- GARAGE: 39.37 m²
- CHAMBRE 1: 13.01 m²
- CHAMBRE 2: 12.02 m²
- CUISINE: 11.81 m²
- All other labeled spaces (e.g., SALON, TOIL., DRESSING) are smaller.

No unlabeled interior room exceeds the SEJOUR value. Thus, SEJOUR has the largest area.

Final answer: SEJOUR (47.19 m²)",1.0,1.0
0000-0001,cnt1,count_bedrooms,counting_qa,How many bedrooms are there on the floor plan?,Two (2) bedrooms,"**2** 

The floor plan shows exactly two rooms explicitly labeled ""CHAMBRE 1"" (13.01 m²) and ""CHAMBRE 2"" (12.02 m²). No other bedrooms are indicated.",1.0,1.0
0000-0001,cnt2,count_windows,counting_qa,How many windows does Chambre 1 have on the floor plan?,One (1) window.,"The floor plan shows **Chambre 1** (bottom-right room) with two exterior walls. Each of these walls contains one standard window symbol (gap with swing arc), for a total of 2 windows.

Final answer: 2",0.0,0.0
0000-0001,ocr1,read_area_text,ocr_qa,what is the size of the GARAGE on the left?,39.37 m²,"The garage on the left is explicitly labeled with an area of **39.37 m²**.

(The dimensions shown around it, such as 6.96 m by ~7.40 m, are consistent with this area but are secondary to the given value.)

Final answer: 39.37 m²",1.0,1.0
0000-0001,ocr2,read_area_text,ocr_qa,What is the area of the SALON and SEJOUR room in square meters?,47.19 m²,"The floor plan explicitly labels the combined open-plan SALON/SEJOUR space with an area of 47.19 m².

Final answer: 47.19 m²",1.0,1.0
0000-0001,sp1,adjacency,spatial_qa,Which room is directly connected to the GARAGE with an internal door?,The A. CUISINE,"The floor plan shows a door symbol (with swing arc) on the right wall of the GARAGE leading directly into the adjacent labeled space **A.CUIS.** (6.13 m²). No other room has an internal door connection.

Final answer: A.CUIS. (arrière-cuisine)",1.0,1.0
0000-0001,sp2,access_to_terrace,spatial_qa,Which room has an openable door to the TERRASSE?,The CUISINE,"The floor plan shows a door symbol (with width marking ""38"") in the wall separating the **CUISINE** from the adjacent TERRASSE. No other labeled room has a direct openable door to it.

Final answer: CUISINE",1.0,1.0
0000-0002,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,"**CHAMBRE 1 (11.01 m²)**

The floor plan directly labels the areas of the three bedrooms as CHAMBRE 1 = 11.01 m², CHAMBRE 3 = 10.10 m² and CHAMBRE 2 = 10.09 m²; therefore CHAMBRE 1 is the largest.",1.0,1.0
0000-0002,cmp2,largest_room,comparison_qa,Which room has the second largest area?,Garage,"The floor plan labels the following room areas (in m²):

- SEJOUR: 30.67
- TERRASSE: 22.00
- GARAGE: 18.20
- CHAMBRE 1: 11.01
- CHAMBRE 3: 10.10
- CHAMBRE 2: 10.09
- CUISINE: 9.97
- BAINS: 5.90
- LINGERIE: 5.81

All other spaces are either unlabeled or <4 m².  
Thus SEJOUR is largest and TERRASSE is second-largest.

Final answer: TERRASSE",0.0,0.0
0000-0002,cmp3,access_to_terrace,comparison_qa,Which bedroom is most close to the ABRI?,CHAMBRE 3,"**CHAMBRE 3**

The ABRI (1.19 m²) is positioned directly adjacent to the lower wall of CHAMBRE 3, making it the nearest bedroom; CHAMBRE 2 and CHAMBRE 1 are farther away.",1.0,1.0
0000-0002,cnt1,count_bedrooms,counting_qa,How many bedrooms are available on the floor plan?,Three (3) bedrooms.,"**3**

The floor plan explicitly labels three rooms as ""CHAMBRE"" (French for bedroom): CHAMBRE 1 (11.01 m²), CHAMBRE 2 (10.09 m²), and CHAMBRE 3 (10.10 m²). No other rooms are designated as bedrooms.",1.0,1.0
0000-0002,cnt2,access_doors,counting_qa,How many doors give access to the LINGERIE room?,Three (3) doors.,"The floor plan shows a single door swing (with width labeled 18) providing access to the LINGERIE room from the adjacent interior space.

**Final answer: 1**",0.0,0.0
0000-0002,ocr1,read_area_text,ocr_qa,What is the area of the BAINS room in square meters?,5.90 m²,"The floor plan directly labels the BAINS room with an area of 5.90 m².

**Final answer: 5.90**",1.0,1.0
0000-0002,sp1,read_room_label,spatial_qa,Which room is directly connected with SEJOUR without an internal door?,The CUISINE,"The floor plan shows SEJOUR as the central living/dining space. CUISINE lies immediately adjacent on the west side. The shared boundary consists of a partial wall with a wide opening (no door leaf or swing arc is indicated on the plan), producing a direct, open connection between the two spaces.

All other adjacent spaces (e.g., CHAMBRE 3 via the corridor, TERRASSE, ABRI) are separated by full door assemblies.

**Final answer: CUISINE**",1.0,1.0
0000-0002,sp2,adjacency,spatial_qa,Which room is directly connected to the GARAGE with an internal door?,The Lingerie,"The floor plan shows a door symbol in the shared wall between the GARAGE (bottom-left) and the adjacent LINGERIE room directly above it. No other internal door connects the GARAGE to any neighboring space.

**Final answer: LINGERIE**",1.0,1.0
0000-0004,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,"**CHAMBRE 1 (11.88 m²)**

The floor plan directly labels the three bedrooms with their computed areas: CHAMBRE 1 = 11.88 m², CHAMBRE 2 = 11.63 m², CHAMBRE 3 = 11.45 m². CHAMBRE 1 is therefore the largest.",1.0,1.0
0000-0004,cmp2,largest_room,comparison_qa,Which room has the second largest area?,Garage,"The floor plan labels the following room areas (in m²):

- SEJOUR: 44.81 (largest)
- GARAGE: 23.56
- ABRI VOITURE: 17.76
- ATELIER: 12.67
- CUISINE: 12.61
- CHAMBRE 1: 11.88
- CHAMBRE 2: 11.63
- CHAMBRE 3: 11.45

All remaining spaces are smaller than 6 m². Thus, the second-largest room is the GARAGE.

Final answer: GARAGE",1.0,1.0
0000-0004,cmp3,largest_toilet,comparison_qa,"Which toilet( TOILET, W.C or BAINS) has the largest area?",The BAINS.,"**BAINS (5.90 m²)**

The floor plan shows three sanitary spaces with the following labeled areas:  
- BAINS: 5.90 m²  
- TOIL.: 2.70 m²  
- W.C: 1.53 m²  

BAINS is therefore the largest.",1.0,1.0
0000-0004,cnt1,dinning_chairs,counting_qa,How many chairs are shown in the CUISINE room?,Five (5) chairs.,"The CUISINE room contains a round dining table. The drawing depicts exactly four chairs arranged around this table.

Final answer: 4",0.0,0.0
0000-0004,ocr1,read_room_label,ocr_qa,What is the area of the small TOILET between the CHAMBRE 1 and the CHAMBRE 2?,2.70 m²,"The small toilet (labeled ""TOIL."") located directly between CHAMBRE 1 and CHAMBRE 2 is explicitly dimensioned on the plan as 2.70 m².

Final answer: 2.70 m²",1.0,1.0
0000-0004,ocr2,read_area_text,ocr_qa,What is the area of the Chambre 2 in square meters?,11.63 m²,"The drawing explicitly labels the area of **Chambre 2** as **11.63 m²**.

Final answer: 11.63 m²",1.0,1.0
0000-0004,sp1,adjacency,spatial_qa,Which room is directly connected to the GARAGE with an internal door?,The A. CUISINE and the ABRI VOITURE.,"The floor plan shows a door symbol on the shared wall between the GARAGE (bottom-right) and the adjacent ATELIER space (labeled 12.67 m²), confirming a direct internal connection. No other interior room has such a door.

**Final answer: ATELIER**",0.0,0.0
0000-0005,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,"**CHAMBRE 1 (10.95 m²)**

The floor plan directly annotates the areas of the three bedrooms as follows:  
- CHAMBRE 1: 10.95 m²  
- CHAMBRE 2: 10.20 m²  
- CHAMBRE 3: 10.02 m²  

CHAMBRE 1 therefore has the largest stated area.",1.0,1.0
0000-0005,cmp2,largest_room,comparison_qa,Which room has the largest area in m²?,SALON and SEJOUR 44.38 m²,"The floor plan labels room areas explicitly. The values shown are:

- SEJOUR: 44.38 m²
- GARAGE: 32.88 m²
- CHAMBRE 1: 10.95 m²
- CHAMBRE 2: 10.20 m²
- CHAMBRE 3: 10.02 m²
- All other rooms (BUREAU, Bains, etc.): < 8 m² each

No unlabeled room exceeds these values. Thus SEJOUR has the largest area.

Final answer: SEJOUR (44.38 m²)",0.0,0.0
0000-0005,cmp3,adjacency,comparison_qa,Which bedroom is closer to the W.C?,Chambre 1,"**CHAMBRE 1**

The W.C. (0.62 m² toilet room) is directly adjacent to CHAMBRE 1, sharing a wall with immediate proximity via the connecting hallway/dressing area. CHAMBRE 2 and CHAMBRE 3 are separated by greater distances (Bains and central circulation spaces).",1.0,1.0
0000-0005,cmp4,larger_area,comparison_qa,"Which room has the larger area, the GARAGE or the ABRI VOITURE?",The GARAGE,"The GARAGE (32.88 m²) has the larger area. 

(The ABRI VOITURE is labeled 16.00 m².)",1.0,1.0
0000-0005,cnt1,access_to_degt,counting_qa,How many doors give access to the DEGT space?,Six (6) doors,"The DEGT space (a small circulation area) is directly accessed by 3 doors, as indicated by the door swing arcs on the plan:

- 1 door connecting from the main central corridor (adjacent to CHAMBRE 1/DRESSING).
- 1 door connecting to the BUREAU.
- 1 door connecting toward the CHAMBRE 3/upper hallway area.

**Final answer: 3**",0.0,0.0
0000-0005,ocr1,read_room_label,ocr_qa,What is the size of the ABRI VOITURE in square meters?,16.00 m²,"**16 m²**

The floor plan directly labels the ABRI VOITURE area with the value 16.00 m² (bottom-left carport zone). No further calculation is required.",1.0,1.0
0000-0005,ocr2,read_area_text,ocr_qa,What is the area of the BAINS room in square meters?,6.31 m²,"The floor plan explicitly labels the BAINS room with an area of 6.31 m².

**Final answer: 6.31**",1.0,1.0
0000-0005,sp1,access_to_terrace,spatial_qa,Which bedroom has a window access to the terrace?,Chambre 3,"The floor plan shows three bedrooms (CHAMBRE 1–3). Only CHAMBRE 3 shares a direct wall with the TERRASSE and contains an opening (door/window) onto it.

**CHAMBRE 3**

(The other two bedrooms have no adjacency or opening to the terrace.)",1.0,1.0
1000-0001,cmp1,largest_bedroom,comparison_qa,Which bedroom on Planta Baixa floor has the largest area?,Dormitori 2,"**Dormitori 2 (11.38 m²)**

The Planta Baixa plan shows two bedrooms with labeled areas: Dormitori 1 (8.10 m²) and Dormitori 2 (11.38 m²). Dormitori 2 is therefore the largest. (The summary table lists a nearly identical value of 11.35 m² for Dormitori 2, confirming the same result.)",1.0,1.0
1000-0001,cmp2,largest_room,comparison_qa,Which room has the largest area in the drawing?,Cuina-Estar-Menjador (Kitchen–Living–Dining),"The largest room is the **Cuina-Estar-Menjador (21.40 m²)** in the duplex unit (PIS 4ª 1ª). 

This is identified by direct comparison of all labeled room areas across both floor plans and the summary table (all other rooms are ≤19.50 m²).",1.0,1.0
1000-0001,cmp3,closer_door,comparison_qa,Whose DORMITORI door has shorter travelling distance to the TRASTER room on the PLANTA BAIXA floor plan?,The door of Dormitori 1.,"**DORMITORI 2**

The PLANTA BAIXA layout places the TRASTER centrally (adjacent to the ESCALA and BANY 1). DORMITORI 2 lies immediately to its right with a direct corridor path of roughly 3–4 m door-to-door. DORMITORI 1 is positioned farther right and requires an additional corridor segment, resulting in a longer route. Thus DORMITORI 2 has the shorter traveling distance.",0.0,0.0
1000-0001,cnt1,count_bedrooms,counting_qa,How many bedrooms (dormitary) are available on the PLANTA BAIXA floor?,Two (2) bedrooms,"The PLANTA BAIXA floor plan shows exactly two rooms explicitly labeled as DORMITORI (DORMITORI 1 and DORMITORI 2).  

**Final answer: 2**",1.0,1.0
1000-0001,ocr1,read_room_label,ocr_qa,What is the listed area of the 'Cuina-Estar-Menjador' on the Planta Baixa?,19.50 m²,"**19,50 m²**

The Planta Baixa floor plan directly labels the Cuina-Estar-Menjador room with the area value “19,50 m2”. This figure is corroborated by the summary table row for “PIS *BAIXOS 1ª*”, which lists the identical value for “Cuina-Est.-Menjador”. No other area is indicated for this space on the ground-floor drawing.",1.0,1.0
1000-0001,ocr2,read_area_text,ocr_qa,What is the area of 'Dormitori 1' on the Planta Baixa?,8.10 m²,"**8,10 m²** 

The Planta Baixa floor plan directly labels the room ""DORMITORI 1"" with the area value 8,10 m2 printed inside it. This matches the tabulated summary for the ""PIS BAIXOS 1ª"" unit, which also lists Dormitori 1 as 8,10 m2. No further calculation or scaling is required, as the value is explicitly annotated on the drawing.",1.0,1.0
1000-0001,ocr3,adjacency,ocr_qa,"What is the area of the adjacent room to CUINA-ESTAR-MENJADOR, to the left of the staircase, on Planta PIS 1-2-3?",9.70 m²,"The relevant floor plan is **PLANTA PIS 1ª-2ª-3ª** (left-hand unit).  

CUINA-ESTAR-MENJADOR (16,90 m²) lies immediately left of the central staircase (ESCALA). The room directly adjacent to it in that position is the dormitori immediately above/left of the staircase, whose area is given on the plan as **9,70 m²**.  

(This matches the tabulated schedule for the same unit.)  

Final answer: 9.70 m²",1.0,1.0
