image_id,qa_id,task,qa_type,question,ground_truth,predicted,score,overall
0000-0001,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,CHAMBRE 1,1.0,1.0
0000-0001,cmp2,largest_room,comparison_qa,Which room has the largest area in m²?,Salon and Sejour,"Based on the areas listed on the plan:
*   **SEJOUR:** 47.19 m²
*   **GARAGE:** 39.37 m²
*   **CHAMBRE 1:** 13.01 m²
*   **CHAMBRE 2:** 12.02 m²
*   **CUISINE:** 11.81 m²

The room with the largest area is the **SEJOUR** (living/dining area) with **47.19 m²**.",1.0,1.0
0000-0001,cnt1,count_bedrooms,counting_qa,How many bedrooms are there on the floor plan?,Two (2) bedrooms,"Based on the floor plan, there are **2** bedrooms (labeled ""CHAMBRE 1"" and ""CHAMBRE 2"").",1.0,1.0
0000-0001,cnt2,count_windows,counting_qa,How many windows does Chambre 1 have on the floor plan?,One (1) window.,,0.0,0.0
0000-0001,ocr1,read_area_text,ocr_qa,what is the size of the GARAGE on the left?,39.37 m²,39.37 m²,1.0,1.0
0000-0001,ocr2,read_area_text,ocr_qa,What is the area of the SALON and SEJOUR room in square meters?,47.19 m²,"Based on the architectural plan, the combined area for the **SALON** and **SEJOUR** (living/dining area) is indicated as **47.19 m²**.",1.0,1.0
0000-0001,sp1,adjacency,spatial_qa,Which room is directly connected to the GARAGE with an internal door?,The A. CUISINE,,0.0,0.0
0000-0001,sp2,access_to_terrace,spatial_qa,Which room has an openable door to the TERRASSE?,The CUISINE,SALON,0.0,0.0
0000-0002,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,CHAMBRE 1,1.0,1.0
0000-0002,cmp2,largest_room,comparison_qa,Which room has the second largest area?,Garage,"Based on the areas listed on the plan:

1.  **SEJOUR (Living/Dining Room):** 30.67 m²
2.  **CHAMBRE 1 (Bedroom 1):** 11.01 m²
3.  **CHAMBRE 3 (Bedroom 3):** 10.10 m²
4.  **CHAMBRE 2 (Bedroom 2):** 10.09 m²
5.  **CUISINE (Kitchen):** 9.97 m²

(Note: The Garage is 18.20 m² and the Terrace is 22.00 m², but these are typically not classified as ""rooms"" in the context of habitable space).

The room with the second largest area is **CHAMBRE 1** (11.01 m²).",0.0,0.0
0000-0002,cmp3,access_to_terrace,comparison_qa,Which bedroom is most close to the ABRI?,CHAMBRE 3,CHAMBRE 3,1.0,1.0
0000-0002,cnt1,count_bedrooms,counting_qa,How many bedrooms are available on the floor plan?,Three (3) bedrooms.,"Based on the floor plan, there are **3** bedrooms labeled (Chambre 1, Chambre 2, and Chambre 3).",1.0,1.0
0000-0002,cnt2,access_doors,counting_qa,How many doors give access to the LINGERIE room?,Three (3) doors.,,0.0,0.0
0000-0002,ocr1,read_area_text,ocr_qa,What is the area of the BAINS room in square meters?,5.90 m²,5.90,1.0,1.0
0000-0002,sp1,read_room_label,spatial_qa,Which room is directly connected with SEJOUR without an internal door?,The CUISINE,SALON,0.0,0.0
0000-0002,sp2,adjacency,spatial_qa,Which room is directly connected to the GARAGE with an internal door?,The Lingerie,SALON,0.0,0.0
0000-0004,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,CHAMBRE 1,1.0,1.0
0000-0004,cmp2,largest_room,comparison_qa,Which room has the second largest area?,Garage,"Based on the areas listed on the plan:

1.  **SEJOUR:** 44.81 m²
2.  **GARAGE:** 23.56 m²
3.  **ABRI VOITURE:** 17.76 m²

The room with the second largest area is the **Garage** (23.56 m²).",1.0,1.0
0000-0004,cmp3,largest_toilet,comparison_qa,"Which toilet( TOILET, W.C or BAINS) has the largest area?",The BAINS.,BAINS,1.0,1.0
0000-0004,cnt1,dinning_chairs,counting_qa,How many chairs are shown in the CUISINE room?,Five (5) chairs.,"Based on the drawing, there are **6** chairs shown around the dining table in the CUISINE (Kitchen) area.",0.0,0.0
