image_id,qa_id,task,qa_type,question,ground_truth,predicted,score,overall
0000-0001,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,"CHAMBRE 1, with an area of 13.01 m² (compared to CHAMBRE 2 at 12.02 m²).",1.0,1.0
0000-0001,cmp2,largest_room,comparison_qa,Which room has the largest area in m²?,Salon and Sejour,The **Séjour** (living room) has the largest area at **47.19 m²**.,1.0,1.0
0000-0001,cnt1,count_bedrooms,counting_qa,How many bedrooms are there on the floor plan?,Two (2) bedrooms,**2 bedrooms** — Chambre 1 (13.01 m²) and Chambre 2 (12.02 m²).,1.0,1.0
0000-0001,cnt2,count_windows,counting_qa,How many windows does Chambre 1 have on the floor plan?,One (1) window.,**Chambre 1 has 2 windows** — one on the bottom (south) exterior wall and one on the right (east) exterior wall.,0.0,0.0
0000-0001,ocr1,read_area_text,ocr_qa,what is the size of the GARAGE on the left?,39.37 m²,The GARAGE is **39.37 m²**.,1.0,1.0
0000-0001,ocr2,read_area_text,ocr_qa,What is the area of the SALON and SEJOUR room in square meters?,47.19 m²,**47.19 m²**,1.0,1.0
0000-0001,sp1,adjacency,spatial_qa,Which room is directly connected to the GARAGE with an internal door?,The A. CUISINE,"The **A.CUIS** (arrière-cuisine / back kitchen, 6.13 m²) is directly connected to the GARAGE via an internal door.",1.0,1.0
0000-0001,sp2,access_to_terrace,spatial_qa,Which room has an openable door to the TERRASSE?,The CUISINE,**CUISINE** (the kitchen) — it has a door swing shown opening directly onto the TERRASSE.,1.0,1.0
0000-0002,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,"CHAMBRE 1, with an area of 11.01 m² (compared to 10.10 m² for Chambre 3 and 10.09 m² for Chambre 2).",1.0,1.0
0000-0002,cmp2,largest_room,comparison_qa,Which room has the second largest area?,Garage,"**Garage** — at 18.20 m², it is the second largest room after the Séjour (30.67 m²). (The Terrasse at 22.00 m² is an outdoor space, not a room.)",1.0,1.0
0000-0002,cmp3,access_to_terrace,comparison_qa,Which bedroom is most close to the ABRI?,CHAMBRE 3,**Chambre 3** (10.10 m²) — it is directly adjacent to the ABRI (1.19 m²) at the bottom of the plan.,1.0,1.0
0000-0002,cnt1,count_bedrooms,counting_qa,How many bedrooms are available on the floor plan?,Three (3) bedrooms.,"**3 bedrooms** (Chambre 1, Chambre 2, and Chambre 3).",1.0,1.0
0000-0002,cnt2,access_doors,counting_qa,How many doors give access to the LINGERIE room?,Three (3) doors.,"**Three doors** — one from the exterior, one connecting to the CUISINE, and one leading to the GARAGE.",1.0,1.0
0000-0002,ocr1,read_area_text,ocr_qa,What is the area of the BAINS room in square meters?,5.90 m²,**5.90 m²**,1.0,1.0
0000-0002,sp1,read_room_label,spatial_qa,Which room is directly connected with SEJOUR without an internal door?,The CUISINE,**CUISINE** (the kitchen) — it opens directly into the SEJOUR through an open passage with no internal door.,1.0,1.0
0000-0002,sp2,adjacency,spatial_qa,Which room is directly connected to the GARAGE with an internal door?,The Lingerie,"**LINGERIE** (the laundry room, 5.81 m²) — it has an internal door connecting directly to the garage.",1.0,1.0
